date,pair_id,category,chain,side,store,label,price_gbp,per100,unit,offer,source,amount,amount_basis
2026-07-07,tesco-balls,meatballs,Tesco,plant,Tesco,Plant Chef 12 Meat-Free Balls,3.6,1.0714,g,,trolley,336,register
2026-07-07,tesco-burg,burgers,Tesco,meat,Tesco,Beef Burgers x8 (frozen),4,0.8811,g,,trolley,454,register
2026-07-07,tesco-burg,burgers,Tesco,plant,Tesco,Plant Chef 2 Meat Free Burgers,2,0.885,g,3 FOR 2,trolley,226,register
2026-07-07,tesco-mince,mince,Tesco,meat,Tesco,Beef Mince 20% Fat,3.25,0.65,g,,trolley,500,register
2026-07-07,tesco-mince,mince,Tesco,plant,Tesco,Plant Chef Meat Free Mince (frozen),2.25,0.4956,g,,trolley,454,register
2026-07-07,tesco-saus,sausages,Tesco,meat,Tesco,British Pork Sausages x8,1.79,0.3943,g,,trolley,454,register
2026-07-07,tesco-saus,sausages,Tesco,plant,Tesco,Plant Chef 6 Cumberland Style Meat-Free Bangers,2.3,0.7667,g,3 FOR 2,trolley,300,register
2026-07-07,tesco-slaw,coleslaw,Tesco,meat,Tesco,Tesco Coleslaw,0.9,0.42,g,,trolley,,aggregator_per_unit
2026-07-07,tesco-slaw,coleslaw,Tesco,plant,Tesco,Plant Chef Coleslaw,1.6,0.64,g,,trolley,250,register
2026-07-07,wait-balls,meatballs,Waitrose,meat,Waitrose,12 British Beef Meatballs,4.5,1.5,g,3 FOR £12,trolley,300,register
2026-07-07,wait-balls,meatballs,Waitrose,plant,Waitrose,PlantLiving No Meat Meatballs,2.25,0.5921,g,3 FOR 2,trolley,380,register
2026-07-07,wait-burg,burgers,Waitrose,meat,Waitrose,BBQ 4 Oak Smoked Beef Burgers,5.5,1.2115,g,3 FOR £12,trolley,454,register
2026-07-07,wait-burg,burgers,Waitrose,plant,Waitrose,PlantLiving 2 Ultimate No Meat Burgers,2.25,1.0714,g,3 FOR 2,trolley,210,register
2026-07-07,wait-saus,sausages,Waitrose,meat,Waitrose,6 Chorizo Style Pork Sausages,4,1,g,2 FOR £6,trolley,400,register
2026-07-07,wait-saus,sausages,Waitrose,plant,Waitrose,Plant Living No Chorizo Sausages,3,1.0714,g,,trolley,280,register
2026-07-07,wait-slaw,coleslaw,Waitrose,meat,Waitrose,Deli Style Coleslaw,2.75,0.55,g,,trolley,500,register
2026-07-07,wait-slaw,coleslaw,Waitrose,plant,Waitrose,PlantLiving Deli Style Coleslaw,1.68,0.56,g,,trolley,300,register
2026-07-08,asda-burg,burgers,Asda,meat,Asda,Summer Grill by ASDA 4 Quarter Pounder Beef Burgers,3.77,0.8304,g,,trolley,454,register
2026-07-08,asda-burg,burgers,Asda,plant,Asda,Plant Based by ASDA 4 Veggie Burgers,1.45,0.3,g,,trolley,,aggregator_per_unit
2026-07-08,asda-mince,mince,Asda,meat,Asda,20% Fat Beef Mince,3.25,0.65,g,,trolley,500,register
